Team1,Team2,Odds1,Draw,Odds2
Argentina,France,2.75,3.13,2.84
Croatia,Morocco,2.33,3.51,3.11
France,Morocco,1.6,3.85,6.63
Argentina,Croatia,2.01,3.16,4.51
England,France,2.83,3.13,2.73
Morocco,Portugal,5.93,3.76,1.66
Netherlands,Argentina,3.68,3.14,2.24
Croatia,Brazil,8.47,4.8,1.41
Portugal,Switzerland,1.94,3.5,4.33
Morocco,Spain,6.18,3.88,1.63
Brazil,South Korea,1.25,6.23,14.0
Japan,Croatia,3.81,3.28,2.13
England,Senegal,1.63,3.76,6.47
France,Poland,1.38,4.98,9.55
Argentina,Australia,1.29,5.96,11.75
Netherlands,United States,1.99,3.28,4.33
Cameroon,Brazil,8.15,5.02,1.39
Serbia,Switzerland,2.65,3.32,2.8
Ghana,Uruguay,4.43,3.78,1.82
South Korea,Portugal,4.28,3.77,1.84
Costa Rica,Germany,22.67,10.18,1.12
Japan,Spain,7.28,4.43,1.48
Canada,Morocco,4.56,3.43,1.88
Croatia,Belgium,2.86,3.37,2.56
Poland,Argentina,8.38,4.23,1.47
Saudi Arabia,Mexico,5.33,4.15,1.63
Australia,Denmark,7.54,4.67,1.44
Tunisia,France,5.8,3.86,1.64
Iran,United States,4.05,3.47,1.97
Wales,England,7.91,4.39,1.45
Ecuador,Senegal,2.54,3.09,3.09
Netherlands,Qatar,1.22,6.8,13.6
Portugal,Uruguay,1.95,3.34,4.28
Brazil,Switzerland,1.5,4.25,7.09
South Korea,Ghana,2.74,3.11,2.84
Cameroon,Serbia,4.97,3.73,1.74
Spain,Germany,2.76,3.32,2.67
Croatia,Canada,2.26,3.21,3.46
Belgium,Morocco,1.92,3.38,4.41
Japan,Costa Rica,1.54,4.13,6.86
Argentina,Mexico,1.56,3.96,6.73
France,Denmark,1.85,3.51,4.58
Poland,Saudi Arabia,1.82,3.45,5.04
Tunisia,Australia,2.22,3.22,3.53
England,United States,1.49,4.2,7.48
Netherlands,Ecuador,1.86,3.45,4.62
Qatar,Senegal,5.17,3.56,1.75
Wales,Iran,2.21,3.13,3.64
Brazil,Serbia,1.47,4.56,6.83
Portugal,Ghana,1.33,5.3,9.96
Uruguay,South Korea,1.79,3.51,4.95
Switzerland,Cameroon,1.84,3.46,4.76
Belgium,Canada,1.59,4.21,5.62
Spain,Costa Rica,1.19,7.35,18.1
Germany,Japan,1.46,4.77,6.71
Morocco,Croatia,3.45,3.27,2.23
France,Australia,1.23,6.35,13.55
Mexico,Poland,2.55,3.14,3.21
Denmark,Tunisia,1.61,3.83,6.1
Argentina,Saudi Arabia,1.14,8.5,23.4
United States,Wales,2.51,3.06,3.19
Senegal,Netherlands,5.68,3.62,1.69
England,Iran,1.39,4.52,10.0
Qatar,Ecuador,3.6,3.08,2.3
